Timestamp,Actual,Predicted
2020-01-01,13.7,13.7
2020-01-02,13.03,13.03
2020-01-03,13.65,13.65
2020-01-04,13.85,13.85
2020-01-05,14.07,14.07
2020-01-06,14.96,14.96
2020-01-07,15.02,15.02
2020-01-08,14.54,14.54
2020-01-09,14.4,14.4
2020-01-10,15.06,15.06
2020-01-11,14.94,14.94
2020-01-12,15.33,15.33
2020-01-13,15.17,15.17
2020-01-14,16.65,16.65
2020-01-15,17.62,17.62
2020-01-16,17.04,17.04
2020-01-17,18.07,18.07
2020-01-18,17.81,17.81
2020-01-19,17.36,17.36
2020-01-20,17.31,17.31
2020-01-21,18.09,18.09
2020-01-22,17.8,17.8
2020-01-23,17.04,17.04
2020-01-24,17.05,17.05
2020-01-25,16.96,16.96
2020-01-26,17.46,17.46
2020-01-27,17.64,17.64
2020-01-28,17.99,17.99
2020-01-29,17.9,17.9
2020-01-30,18.53,18.53
2020-01-31,18.2,18.2
2020-02-01,18.24,18.24
2020-02-02,18.41,18.41
2020-02-03,18.46,18.46
2020-02-04,18.17,18.17
2020-02-05,19.25,19.25
2020-02-06,20.62,20.62
2020-02-07,22.03,22.03
2020-02-08,21.76,21.76
2020-02-09,24.28,24.28
2020-02-10,25.14,25.14
2020-02-11,25.68,25.68
2020-02-12,26.43,26.43
2020-02-13,25.53,25.53
2020-02-14,26.32,26.32
2020-02-15,24.28,24.28
2020-02-16,23.4,23.4
2020-02-17,23.45,23.45
2020-02-18,24.04,24.04
2020-02-19,22.31,22.31
2020-02-20,22.11,22.11
2020-02-21,22.16,22.16
2020-02-22,22.03,22.03
2020-02-23,22.81,22.81
2020-02-24,22.14,22.14
2020-02-25,20.24,20.24
2020-02-26,18.76,18.76
2020-02-27,19.2,19.2
2020-02-28,18.96,18.96
2020-02-29,19.28,19.28
2020-03-01,18.89,18.89
2020-03-02,19.93,19.93
2020-03-03,19.63,19.63
2020-03-04,19.98,19.98
2020-03-05,20.76,20.76
2020-03-06,21.37,21.37
2020-03-07,20.24,20.24
2020-03-08,16.93,16.93
2020-03-09,16.55,16.55
2020-03-10,16.84,16.84
2020-03-11,16.54,16.54
2020-03-12,9.25,9.25
2020-03-13,10.96,10.96
2020-03-14,10.13,10.13
2020-03-15,10.4,10.4
2020-03-16,9.42,9.42
2020-03-17,10.29,10.29
2020-03-18,10.4,10.4
2020-03-19,12.3,12.3
2020-03-20,11.94,11.94
2020-03-21,12.11,12.11
2020-03-22,11.16,11.16
2020-03-23,12.19,12.19
2020-03-24,12.34,12.34
2020-03-25,12.34,12.34
2020-03-26,13.21,13.21
2020-03-27,12.33,12.33
2020-03-28,12.18,12.18
2020-03-29,11.3,11.3
2020-03-30,12.16,12.16
2020-03-31,12.55,12.55
2020-04-01,12.71,12.71
2020-04-02,13.02,13.02
2020-04-03,13.36,13.36
2020-04-04,13.76,13.76
2020-04-05,13.69,13.69
2020-04-06,15.19,15.19
2020-04-07,14.75,14.75
2020-04-08,15.09,15.09
2020-04-09,15.01,15.01
2020-04-10,13.72,13.72
2020-04-11,13.81,13.81
2020-04-12,14.29,14.29
2020-04-13,15.04,15.04
2020-04-14,15.6,15.6
2020-04-15,14.57,14.57
2020-04-16,15.63,15.63
2020-04-17,15.63,15.63
2020-04-18,16.62,16.62
2020-04-19,16.06,16.06
2020-04-20,14.96,14.96
2020-04-21,15.1,15.1
2020-04-22,15.7,15.7
2020-04-23,16.02,16.02
2020-04-24,15.91,15.91
2020-04-25,16.22,16.22
2020-04-26,16.36,16.36
2020-04-27,16.49,16.49
2020-04-28,16.32,16.32
2020-04-29,17.43,17.43
2020-04-30,17.0,17.0
2020-05-01,17.44,17.44
2020-05-02,17.51,17.51
2020-05-03,17.11,17.11
2020-05-04,17.02,17.02
2020-05-05,16.86,16.86
2020-05-06,16.37,16.37
2020-05-07,17.0,17.0
2020-05-08,17.14,17.14
2020-05-09,16.81,16.81
2020-05-10,15.28,15.28
2020-05-11,15.12,15.12
2020-05-12,15.76,15.76
2020-05-13,16.11,16.11
2020-05-14,16.39,16.39
2020-05-15,15.71,15.71
2020-05-16,16.05,16.05
2020-05-17,16.29,16.29
2020-05-18,16.63,16.63
2020-05-19,17.2,17.2
2020-05-20,16.9,16.9
2020-05-21,16.09,16.09
2020-05-22,16.59,16.59
2020-05-23,16.47,16.47
2020-05-24,16.01,16.01
2020-05-25,16.38,16.38
2020-05-26,16.22,16.22
2020-05-27,16.46,16.46
2020-05-28,17.08,17.08
2020-05-29,17.0,17.0
2020-05-30,17.73,17.73
2020-05-31,17.11,17.11
2020-06-01,17.92,17.92
2020-06-02,17.28,17.28
2020-06-03,17.56,17.56
2020-06-04,17.52,17.52
2020-06-05,17.7,17.7
2020-06-06,17.56,17.56
2020-06-07,17.42,17.42
2020-06-08,17.43,17.43
2020-06-09,17.37,17.37
2020-06-10,17.39,17.39
2020-06-11,16.23,16.23
2020-06-12,16.64,16.64
2020-06-13,16.81,16.81
2020-06-14,16.56,16.56
2020-06-15,16.38,16.38
2020-06-16,16.43,16.43
2020-06-17,16.4,16.4
2020-06-18,16.15,16.15
2020-06-19,15.98,15.98
2020-06-20,16.06,16.06
2020-06-21,15.97,15.97
2020-06-22,16.5,16.5
2020-06-23,16.39,16.39
2020-06-24,16.0,16.0
2020-06-25,15.91,15.91
2020-06-26,15.77,15.77
2020-06-27,15.13,15.13
2020-06-28,15.39,15.39
2020-06-29,15.46,15.46
