Date,Open,High,Low,Close,Volume,Currency
2018-01-01,736.77,762.0,717.94,752.46,425460,USD
2018-01-02,752.46,890.0,752.46,858.78,1473350,USD
2018-01-03,858.78,954.73,840.0,942.01,1086894,USD
2018-01-04,942.01,997.0,893.24,940.0,1220160,USD
2018-01-05,939.3,1023.6,930.0,962.77,1043823,USD
2018-01-06,962.77,1014.2,951.38,1004.3,447262,USD
2018-01-07,1004.3,1116.0,999.5,1115.8,699395,USD
2018-01-08,1115.9,1225.0,968.12,1129.3,1538009,USD
2018-01-09,1129.4,1299.0,1119.1,1283.7,1039147,USD
2018-01-10,1285.7,1381.9,1203.2,1248.0,1331498,USD
2018-01-11,1245.9,1331.8,1102.5,1135.5,1261981,USD
2018-01-12,1135.1,1285.0,1083.4,1257.2,732326,USD
2018-01-13,1257.0,1423.2,1252.6,1380.0,709741,USD
2018-01-14,1379.9,1385.0,1256.0,1350.0,618611,USD
2018-01-15,1349.9,1377.9,1264.4,1273.4,481873,USD
2018-01-16,1275.8,1278.8,868.98,1020.1,2352070,USD
2018-01-17,1019.6,1088.3,770.1,1017.5,2403016,USD
2018-01-18,1020.1,1079.0,940.0,994.81,1309235,USD
2018-01-19,993.92,1079.0,960.1,1032.6,612185,USD
2018-01-20,1032.6,1160.0,1029.6,1146.0,573524,USD
2018-01-21,1146.3,1146.3,1001.5,1047.0,691691,USD
2018-01-22,1047.0,1084.1,912.76,995.08,835877,USD
2018-01-23,995.26,1022.0,905.38,982.98,798280,USD
2018-01-24,982.11,1068.8,952.04,1063.2,606137,USD
2018-01-25,1061.8,1102.4,1025.1,1048.2,567298,USD
2018-01-26,1048.2,1078.6,983.0,1047.0,485471,USD
2018-01-27,1046.9,1125.3,1031.6,1114.8,370171,USD
2018-01-28,1114.7,1264.8,1109.0,1246.6,662743,USD
2018-01-29,1245.5,1259.8,1155.9,1175.0,488443,USD
2018-01-30,1174.36,1178.92,1042.9,1071.9,1422239,USD
2018-01-31,1072.17,1126.87,1028.03,1118.08,990738,USD
2018-02-01,1118.15,1157.09,970.42,1033.55,1759331,USD
2018-02-02,1033.02,1036.17,766.82,920.85,3032182,USD
2018-02-03,920.93,997.51,850.38,971.49,1065326,USD
2018-02-04,971.49,972.66,788.79,829.43,1335777,USD
2018-02-05,828.49,859.72,634.64,696.86,2994087,USD
2018-02-06,696.75,797.94,568.78,783.83,4286624,USD
2018-02-07,782.72,852.98,719.34,753.18,1983465,USD
2018-02-08,752.75,831.02,751.76,805.4,1251202,USD
2018-02-09,805.15,879.51,781.97,877.85,923813,USD
2018-02-10,877.88,908.26,816.72,851.39,1052195,USD
2018-02-11,851.44,854.1,778.9,810.45,988453,USD
2018-02-12,811.01,875.52,810.99,865.62,837418,USD
2018-02-13,865.72,868.92,822.98,841.38,733525,USD
